Latitude,Longitude,Name,Description,Icon,ep_Circle,PolygonFillType,,,,,,,,,,,
46.12310,-67.79190,HOULTON INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
46.88591,-67.97152,JSS LRRS J-63 AFSF-4 CARIBOU ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
46.68896,-68.04479,PRESQUE ISLE INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.44971,-68.36149,HANCOCK COUNTY - BAR HARBOR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
45.64718,-68.70437,HEPP (GREAT LAKES HYDRO AMERICA),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.82379,-68.70998,TPP MAINE INDEPENDENCE STATION VEAZIE ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
45.67054,-68.71033,CPR MILLINOCKET YARD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.57445,-68.80308,TPP BUCKSPORT GENERATION LLC BUCKSPORT ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.80744,-68.82814,BANGOR INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.81757,-68.82980,BANGOR ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.81448,-68.83053,101ST ARW (KC-135R),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.81826,-68.83120,POL STORAGE BANGOR ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.80935,-68.84031,MAINE ARNG BANGOR TRAINING SITE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.06014,-69.09967,KNOX COUNTY REGIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.56700,-69.61942,PARX WATERVILLE YARD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.70278,-69.64768,TPP SOMERSET PLANT SKOWHEGAN ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.53325,-69.67553,WATERVILLE ROBERT LAFLEUR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.95439,-69.69316,ISFSI MAINE YANKEE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.30730,-69.78172,MAINE STATE CAPITOL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.35179,-69.79485,MAINE NG JFHA AUGUSTA ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.32065,-69.79732,AUGUSTA STATE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.36690,-69.80116,MAINE STATE EOC,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.90624,-69.81439,GENERAL DYNAMICS BATH IRON WORKS BATH ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.89236,-69.93883,BRUNSWICK EXECUTIVE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.03445,-70.05440,JSS LRRS J-53 ARSR-4 NORTH TRURO MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.25298,-70.05991,NANTUCKET MEMORIAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.75110,-70.15680,TPP WILLIAM F WYMAN YARMOUTH ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.50632,-70.24231,TPP ANDROSCOGGIN ENERGY CENTER JAY ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.66933,-70.28036,BARNSTABLE MUNICIPAL-BOARDMAN - POLANDO FIELD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.08629,-70.28280,MAINE ARNG AUBURN TRAINING SITE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.04847,-70.28351,AUBURN-LEWISTON MUNICIPAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.61788,-70.29814,PARX RIGBY YARD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.64564,-70.30862,PORTLAND INTERNATIONAL JETPORT,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.63326,-70.31728,SOUTH PORTLAND ANGS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.65749,-70.37718,TPP WESTBROOK ENERGY CENTER POWER PLANT WESTBROOK ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.46873,-70.47478,INTERMAT BIDDEFORD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.46723,-70.47550,AVX TANTALUM BIDDEFORD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.46972,-70.48951,FIBER MATERIALS BIDDEFORD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
